CODIGO DEL PRODUCTO;NOMBRE PRODUCTO;UNIDAD;PRESENTACION;TEMPERATURA;PRECIO EXWORK 2022;TIPO
130203001M;MAGLUMI TSH;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;62.70;REACTIVO
130203002M;MAGLUMI T4;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130203003M;MAGLUMI T3;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130203004M;MAGLUMI FT4;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130203005M;MAGLUMI FT3;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130203006M;MAGLUMI TG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;62.70;REACTIVO
130203007M;MAGLUMI TGA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130203008M;MAGLUMI TMA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130203009M;MAGLUMI TRAb;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130203010M;MAGLUMI rT3;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;74.10;RUO
130203011M;MAGLUMI anti-TPO;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130202001M;MAGLUMI FSH;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202002M;MAGLUMI LH;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202003M;MAGLUMI HCG/β- HCG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202006M;MAGLUMI Prolactin (PRL);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202007M;MAGLUMI Estradiol (E2);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202008M;MAGLUMI Free Estriol (FE3);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202009M;MAGLUMI Progesterone (PRG);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202010M;MAGLUMI Testosterone (TEST);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202011M;MAGLUMI Free Testosterone (F-TEST);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;59.85;REACTIVO
130202012M;MAGLUMI DHEA-S;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130214003M;MAGLUMI PAPP-A;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;133.95;REACTIVO
130202014M;MAGLUMI AMH;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;760.00;REACTIVO
130202015M;MAGLUMI SHBG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;98.80;REACTIVO
130214001M;MAGLUMI AFP PRENATAL;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130214002M;MAGLUMI Free β-HCG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130201001M;MAGLUMI Ferritin;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130201002M;MAGLUMI AFP;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130201003M;MAGLUMI CEA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130201004M;MAGLUMI PSA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;126.35;REACTIVO
130201005M;MAGLUMI f-PSA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;126.35;REACTIVO
130201006M;MAGLUMI PAP;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;141.55;REACTIVO
